Codes;Location;Registered;Envelopes;Valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana
554359;Trhanov;428;252;251;25;0;0;30;0;12;39;2;2;0;0;0;21
566161;Úboč;92;52;51;9;0;0;6;0;4;3;0;0;2;0;0;5
554383;Újezd;323;195;195;7;2;0;20;1;10;16;0;4;0;0;3;17
554391;Únějovice;88;60;60;4;0;0;6;0;2;5;1;0;1;0;1;3
554405;Úsilov;115;51;51;3;0;0;4;0;7;4;0;1;1;0;0;6
554413;Velký Malahov;201;95;94;4;0;0;2;0;9;11;1;0;0;1;0;4
554421;Vidice;130;71;71;5;0;0;4;0;1;14;0;0;0;0;0;2
566250;Vlkanov;97;57;57;10;0;0;3;0;8;7;0;0;0;0;0;2
566071;Všekary;80;61;61;10;0;0;2;0;6;2;1;2;0;0;2;4
554448;Všepadly;39;30;30;4;0;0;6;0;2;4;0;0;0;0;0;2
554456;Všeruby;638;283;281;23;1;0;19;1;24;37;6;5;1;0;1;14
554464;Zahořany;791;501;499;53;2;0;33;0;29;29;4;6;11;1;2;46
554472;Ždánov;122;79;77;7;0;0;23;0;3;7;0;1;0;0;0;5
